epoch 0, time: 306.10	train_loss: 7.74, score: 40.51	dev score: 47.31/90.73
epoch 1, time: 310.82	train_loss: 3.62, score: 48.95	dev score: 50.99/90.73
epoch 2, time: 308.88	train_loss: 3.39, score: 52.35	dev score: 53.12/90.73
epoch 3, time: 310.28	train_loss: 3.24, score: 54.77	dev score: 54.57/90.73
epoch 4, time: 309.77	train_loss: 3.12, score: 56.75	dev score: 55.44/90.73
epoch 5, time: 309.85	train_loss: 3.01, score: 58.53	dev score: 56.11/90.73
epoch 6, time: 311.07	train_loss: 2.92, score: 60.17	dev score: 56.61/90.73
epoch 7, time: 310.18	train_loss: 2.83, score: 61.68	dev score: 57.05/90.73
epoch 8, time: 311.42	train_loss: 2.75, score: 63.08	dev score: 57.26/90.73
epoch 9, time: 311.21	train_loss: 2.68, score: 64.50	dev score: 57.61/90.73
epoch 10, time: 311.42	train_loss: 2.61, score: 65.85	dev score: 57.60/90.73
epoch 11, time: 310.91	train_loss: 2.54, score: 67.10	dev score: 57.69/90.73
epoch 12, time: 312.47	train_loss: 2.47, score: 68.38	dev score: 57.65/90.73
epoch 13, time: 311.19	train_loss: 2.41, score: 69.58	dev score: 57.66/90.73
epoch 14, time: 310.89	train_loss: 2.35, score: 70.73	dev score: 57.49/90.73
epoch 15, time: 311.81	train_loss: 2.29, score: 71.73	dev score: 57.63/90.73
epoch 16, time: 310.69	train_loss: 2.24, score: 72.77	dev score: 57.61/90.73
epoch 17, time: 311.18	train_loss: 2.18, score: 73.68	dev score: 57.51/90.73
epoch 18, time: 311.48	train_loss: 2.14, score: 74.56	dev score: 57.44/90.73
epoch 19, time: 312.94	train_loss: 2.09, score: 75.33	dev score: 57.26/90.73
epoch 20, time: 312.36	train_loss: 2.05, score: 76.10	dev score: 57.30/90.73
epoch 21, time: 311.36	train_loss: 2.01, score: 76.74	dev score: 57.19/90.73
epoch 22, time: 311.31	train_loss: 1.97, score: 77.40	dev score: 57.12/90.73
epoch 23, time: 311.58	train_loss: 1.93, score: 77.97	dev score: 56.91/90.73
epoch 24, time: 311.37	train_loss: 1.90, score: 78.53	dev score: 56.97/90.73
epoch 25, time: 310.97	train_loss: 1.87, score: 79.09	dev score: 57.01/90.73
epoch 26, time: 311.04	train_loss: 1.84, score: 79.60	dev score: 56.92/90.73
epoch 27, time: 311.22	train_loss: 1.81, score: 79.97	dev score: 56.88/90.73
epoch 28, time: 313.03	train_loss: 1.78, score: 80.42	dev score: 56.96/90.73
epoch 29, time: 313.08	train_loss: 1.75, score: 80.79	dev score: 56.87/90.73
