epoch 0, time: 310.29	train_loss: 9.58, score: 39.62	dev score: 50.34/90.73
epoch 1, time: 312.92	train_loss: 3.53, score: 52.07	dev score: 55.14/90.73
epoch 2, time: 314.62	train_loss: 3.22, score: 56.66	dev score: 57.43/90.73
epoch 3, time: 315.34	train_loss: 3.03, score: 59.71	dev score: 59.38/90.73
epoch 4, time: 314.97	train_loss: 2.89, score: 62.10	dev score: 60.13/90.73
epoch 5, time: 314.83	train_loss: 2.78, score: 63.97	dev score: 60.84/90.73
epoch 6, time: 316.35	train_loss: 2.67, score: 65.76	dev score: 61.44/90.73
epoch 7, time: 315.81	train_loss: 2.58, score: 67.46	dev score: 61.76/90.73
epoch 8, time: 315.79	train_loss: 2.50, score: 68.88	dev score: 61.93/90.73
epoch 9, time: 315.34	train_loss: 2.43, score: 70.32	dev score: 62.17/90.73
epoch 10, time: 315.38	train_loss: 2.35, score: 71.67	dev score: 62.18/90.73
epoch 11, time: 315.58	train_loss: 2.29, score: 72.89	dev score: 62.30/90.73
epoch 12, time: 314.80	train_loss: 2.23, score: 74.01	dev score: 62.25/90.73
epoch 13, time: 314.82	train_loss: 2.17, score: 75.04	dev score: 62.24/90.73
epoch 14, time: 314.67	train_loss: 2.12, score: 75.95	dev score: 62.35/90.73
epoch 15, time: 316.35	train_loss: 2.07, score: 76.79	dev score: 62.19/90.73
epoch 16, time: 318.12	train_loss: 2.02, score: 77.54	dev score: 62.28/90.73
epoch 17, time: 317.11	train_loss: 1.98, score: 78.17	dev score: 62.16/90.73
epoch 18, time: 315.94	train_loss: 1.94, score: 78.83	dev score: 62.16/90.73
epoch 19, time: 316.85	train_loss: 1.90, score: 79.39	dev score: 62.16/90.73
epoch 20, time: 315.72	train_loss: 1.87, score: 79.88	dev score: 62.12/90.73
epoch 21, time: 316.72	train_loss: 1.84, score: 80.35	dev score: 61.92/90.73
epoch 22, time: 315.28	train_loss: 1.81, score: 80.83	dev score: 62.20/90.73
epoch 23, time: 315.07	train_loss: 1.78, score: 81.20	dev score: 62.08/90.73
epoch 24, time: 315.61	train_loss: 1.75, score: 81.59	dev score: 62.01/90.73
epoch 25, time: 317.43	train_loss: 1.72, score: 81.94	dev score: 62.06/90.73
